"ID","NOM","GP","GS","MIN","PTS","T1A","T1I","T2A","T2I","T3A","T3I","OREB","DREB","TREB","ASIS","REC","PER","FC","FR","PLUSMINUS","VAL","FGM","FGA","T1%","T2%","T3%","eFG%","TS%","poss_used","PPP","PTS_pg","MIN_pg","T1A_pg","T1I_pg","T2A_pg","T2I_pg","T3A_pg","T3I_pg","OREB_pg","DREB_pg","TREB_pg","ASIS_pg","REC_pg","PER_pg","FC_pg","FR_pg","TEAM","TEAM_id"
"2796302","P. GABRIEL",15,10,253.88,98,16,28,41,80,0,0,36,56,92,5,9,30,47,33,-52,118,41,80,0.57,0.51,NA,0.51,0.53,122.32,0.8,6.53,16.93,1.07,1.87,2.73,5.33,0,0,2.4,3.73,6.13,0.33,0.6,2,3.13,2.2,"LA CORDÁ DE PATERNA NB",981346
"1494221","L. SOLER MADARIAGA",2,0,48.47,6,0,0,3,7,0,5,3,10,13,2,1,6,1,0,-14,7,3,12,NA,0.43,0,0.25,0.25,18,0.33,3,24.24,0,0,1.5,3.5,0,2.5,1.5,5,6.5,1,0.5,3,0.5,0,"MCR LIMA-HORTA BARCELONA",981206
"1886093","E. ESCUDER GONZALEZ",15,0,185.22,65,2,4,6,14,17,44,3,11,14,11,7,9,9,5,-57,47,23,58,0.5,0.43,0.39,0.54,0.54,68.76,0.95,4.33,12.35,0.13,0.27,0.4,0.93,1.13,2.93,0.2,0.73,0.93,0.73,0.47,0.6,0.6,0.33,"MCR LIMA-HORTA BARCELONA",981206
"1908281","M. AGUADO TORTELLA",15,6,367.23,156,40,70,46,90,8,28,11,57,68,20,16,30,24,57,-81,171,54,118,0.57,0.51,0.29,0.49,0.52,178.8,0.87,10.4,24.48,2.67,4.67,3.07,6,0.53,1.87,0.73,3.8,4.53,1.33,1.07,2,1.6,3.8,"MCR LIMA-HORTA BARCELONA",981206
"1912814","N. BARRIENTOS PEREIRA",15,5,224.72,43,14,18,13,33,1,9,15,29,44,12,4,11,22,15,-111,55,14,42,0.78,0.39,0.11,0.35,0.43,60.92,0.71,2.87,14.98,0.93,1.2,0.87,2.2,0.07,0.6,1,1.93,2.93,0.8,0.27,0.73,1.47,1,"MCR LIMA-HORTA BARCELONA",981206
"1958425","L. ROIG I SALRACH",15,6,362.95,108,13,35,28,77,13,46,11,28,39,31,11,48,44,43,-119,36,41,123,0.37,0.36,0.28,0.39,0.39,186.4,0.58,7.2,24.2,0.87,2.33,1.87,5.13,0.87,3.07,0.73,1.87,2.6,2.07,0.73,3.2,2.93,2.87,"MCR LIMA-HORTA BARCELONA",981206
"1959765","J. RUEDA CHONI",15,14,448.52,169,35,51,49,99,12,57,11,56,67,66,29,68,45,64,-93,173,61,156,0.69,0.49,0.21,0.43,0.47,246.44,0.69,11.27,29.9,2.33,3.4,3.27,6.6,0.8,3.8,0.73,3.73,4.47,4.4,1.93,4.53,3,4.27,"MCR LIMA-HORTA BARCELONA",981206
"1968768","I. SUBIRATS TERUEL",15,15,363.57,86,10,13,17,41,14,57,12,42,54,18,20,29,37,17,-110,59,31,98,0.77,0.41,0.25,0.39,0.41,132.72,0.65,5.73,24.24,0.67,0.87,1.13,2.73,0.93,3.8,0.8,2.8,3.6,1.2,1.33,1.93,2.47,1.13,"MCR LIMA-HORTA BARCELONA",981206
"2042157","C. RIPOLL MOYA",15,4,206.85,50,1,4,5,11,13,52,5,8,13,1,7,10,25,10,-60,-2,18,63,0.25,0.45,0.25,0.39,0.39,74.76,0.67,3.33,13.79,0.07,0.27,0.33,0.73,0.87,3.47,0.33,0.53,0.87,0.07,0.47,0.67,1.67,0.67,"MCR LIMA-HORTA BARCELONA",981206
"2049841","E. TRAWALLY PORTA",14,7,180.1,60,6,10,15,32,8,22,13,41,54,4,12,13,16,10,11,80,23,54,0.6,0.47,0.36,0.5,0.51,71.4,0.84,4.29,12.86,0.43,0.71,1.07,2.29,0.57,1.57,0.93,2.93,3.86,0.29,0.86,0.93,1.14,0.71,"MCR LIMA-HORTA BARCELONA",981206
"2053378","P. DE ANTONIO VENTURA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MCR LIMA-HORTA BARCELONA",981206
"2235190","E. MORALES LÓPEZ",15,15,370.48,106,19,25,42,97,1,4,29,45,74,14,10,20,36,34,-75,119,43,101,0.76,0.43,0.25,0.43,0.47,132,0.8,7.07,24.7,1.27,1.67,2.8,6.47,0.07,0.27,1.93,3,4.93,0.93,0.67,1.33,2.4,2.27,"MCR LIMA-HORTA BARCELONA",981206
